Moisture,Temparature,Humidity,soil temperature
60,27.9,36.2,24.63
60,28,35.6,24.56
59,28,35.6,24.63
59,27.8,36.3,24.56
59,27.9,35.8,24.56
59,28,35.5,24.56
59,27.8,35.8,24.56
59,27.5,36,24.56
59,27.3,36.5,24.5
59,28,34.8,24.5
59,28,34.8,24.5
59,26.8,36.7,24.5
59,26.9,36.8,24.5
59,26.7,36.6,24.44
59,26.7,36.9,24.44
59,27.4,35.7,24.44
59,27.8,34.6,24.44
59,28.1,34.3,24.37
59,28.2,34.2,24.37
59,28,34.5,24.37
59,27.9,34.7,24.44
59,27.6,35.4,24.37
59,27.5,35,24.37
59,27.8,34.6,24.44
59,27.1,35.7,24.37
59,26.1,38,24.37
59,27.3,36.2,24.31
59,27.3,36,24.31
59,27,36.7,24.19
59,25.9,39.3,24.25
59,27.2,37.2,24.25
59,27.8,36,24.25
59,27.8,36,24.25
59,26.9,37.9,24.19
59,26.6,38.3,24.19
59,27.1,37.8,24.25
59,27.2,37.7,24.19
59,27.2,37.9,24.19
59,27.4,37.8,24.19
59,26.9,38.7,24.19
59,25.8,41.4,24.12
59,25.8,41.9,24.12
59,26,41.6,24.12
59,26.5,40.8,24.12
59,27.4,39,24.12
59,26.3,40.8,24.06
59,25.9,41.7,24.06
59,26.7,40.3,24
59,27.2,39.4,24.06
59,26.6,40.8,24
59,27.2,39.9,24.06
59,27.1,39.9,24
59,27.2,39.8,24
59,27.1,39.9,24
59,27.2,39.9,24
59,27.2,39.9,24
59,27.1,40.2,24
59,27.1,40.3,24
59,27.2,40.3,23.94
59,27.3,40.1,23.94
59,27,40.6,23.94
59,26.9,40.8,23.94
59,26.9,40.6,23.94
59,26.9,40.5,23.87
59,27.2,40,23.94
59,27,40.2,23.87
59,26.9,40.6,23.81
59,26.8,40.6,23.81
59,26.9,40.5,23.75
59,26.8,40.6,23.81
59,26.7,41,23.75
59,26.7,40.8,23.75
59,26.6,40.9,23.75
59,26.7,40.6,23.75
59,26.6,40.7,23.69
59,26.6,40.7,23.62
59,26.6,40.7,23.69
59,26.8,40.5,23.69
59,26.8,40.3,23.62
59,26.8,40.2,23.69
59,26.7,40.5,23.56
59,26.4,41,23.56
59,26.6,40.4,23.56
59,26.4,41.2,23.56
59,25,43.7,23.56
59,25.6,43,23.5
59,25.3,43.4,23.5
59,25.5,43.3,23.5
59,26.1,42.2,23.44
59,25.2,43.7,23.44
59,25.5,43.5,23.44
59,25.3,43.6,23.44
59,26.6,41.7,23.44
59,26.9,41.3,23.5
59,27.3,40.3,23.5
59,27,40.4,23.5
59,26.8,41.1,23.5
59,27.3,40.2,23.56
59,27.3,40.3,23.5
59,27.3,40.1,23.5
59,27.4,39.9,23.56
59,27.4,40.4,23.56
59,27.4,40,23.5
60,0,0,0
59,27,20,23.75
58,28.4,20,23.62
58,28.4,20,23.5
57,28.4,20,23.25
57,28.5,20,23.19
57,28.6,20,23.06
57,28.9,20,22.87
58,29.1,20,22.69
58,29,20,22.62
58,29,20,22.5
58,29.1,20,22.5
59,29.1,20,22.56
59,29,20,22.56
59,28.9,20,22.56
59,29,20,22.69
60,28.9,20,22.75
60,29,20,22.81
60,29,20,22.87
60,29,20,22.94
60,28.7,20,22.94
60,28.8,20,23
61,28.8,20,23.06
61,28.9,20,23.12
61,29,20,23.12
60,29,20,23.25
60,29,24.9,23.44
60,29.1,25.8,23.5
61,29.1,26,23.5
62,29.2,25.8,23.5
62,29.1,29,23.5
62,29,26.9,23.5
62,29,28.5,23.44
62,29,29,23.44
62,28.9,28.8,23.44
64,28.9,27.7,23.44
64,29,28.3,23.38
64,28.8,27.1,23.38
65,29,26.5,23.38
65,28.9,20,23.38
66,28.9,27.4,23.31
66,28.9,27.3,23.38
66,28.9,27.9,23.38
66,28.6,27,23.38
66,28.7,27.1,23.38
66,28.7,26.8,23.44
66,28.8,27.2,23.44
66,28.8,26.7,23.5
66,28.8,27,23.44
66,28.7,26.3,23.5
67,28.7,26.2,23.5
67,28.7,25.8,23.44
67,28.7,26.1,23.44
67,28.7,26.2,23.5
67,28.7,26.4,23.44
67,28.7,25.6,23.5
67,28.7,26,23.56
67,28.7,25.5,23.5
67,28.7,25.9,23.5
67,28.7,25.9,23.5
67,28.7,26.4,23.62
67,28.8,27.2,23.62
67,28.9,27.5,23.56
66,28.9,27.7,23.56
66,28.9,27.4,23.56
67,28.8,27.3,23.62
67,28.6,27.2,23.62
67,28.8,27.9,23.62
67,28.7,27.5,23.62
67,28.7,28.2,23.62
67,28.5,28,23.62
66,28.5,27.8,23.69
66,28.5,27.8,23.69
66,28.6,27.8,23.62
63,28.7,28.1,23.69
61,28.2,27.6,23.69
60,28.1,28.7,23.5
61,28.3,28.6,23.38
61,28.4,28.7,23.25
63,28.4,28.7,23.12
64,28.4,28.8,23
64,28.5,28.8,22.87
64,28.4,29.1,22.69
65,28.4,29.3,22.62
65,28.4,29.5,22.56
65,28.4,29.8,22.44
65,28.5,29.8,22.37
66,28.5,30,22.25
66,28.4,30.3,22.25
66,28.4,30.4,22.19
66,28.4,30.6,22.13
66,28.4,30.5,22.13
66,28.5,30.6,22.06
66,28.4,30.9,22.06
66,28.4,31,22
66,28.4,31.3,22
66,28.4,31.4,22
66,28.4,31.5,21.94
66,28.4,31.6,21.94
66,28.4,31.6,21.87
66,28.4,31.8,21.87
66,28.4,31.9,21.87
66,28.4,32,21.81
66,28.4,32,21.87
66,28.2,32.3,21.87
65,28.1,32.5,21.75
65,28.1,32.6,21.87
65,28.2,32.7,21.81
65,28.2,32.8,21.81
66,28.1,32.8,21.75
66,28.3,32.8,21.75
66,28.2,32.9,21.75
66,28.2,32.9,21.81
66,28.2,32.9,21.75
66,28.2,32.9,21.75
66,28.1,33,21.81
66,28.1,33.1,21.75
66,28.1,33.3,21.75
65,28.1,33.3,21.75
65,28.1,33.3,21.75
66,28.1,33.4,21.75
65,28,33.5,21.69
65,28,33.6,21.69
66,28.1,33.7,21.69
65,28,33.7,21.75
66,28.1,33.9,21.69
66,28,33.9,21.69
66,28.1,34,21.69
66,28,34.1,21.75
66,28,34.2,21.75
66,28,34.3,21.75
66,27.9,34.5,21.75
66,28,34.4,21.62
65,27.9,34.6,21.69
65,27.9,34.7,21.69
65,27.9,34.8,21.69
65,27.9,34.9,21.62
65,27.9,35,21.69
65,27.9,34.9,21.69
65,28,34.8,21.69
65,27.8,34.7,21.69
65,27.8,34.6,21.69
65,27.8,34.6,21.62
65,27.8,34.6,21.69
65,27.8,34.7,21.62
65,27.8,34.7,21.69
65,27.8,34.8,21.62
65,27.8,34.8,21.62
64,27.9,34.7,21.62
64,27.8,34.8,21.62
64,27.8,34.8,21.62
64,27.7,35,21.69
64,27.7,35.1,21.69
64,27.7,35.1,21.62
64,27.7,35.1,21.62
